,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
IFNGR1,844.0741147583752,0.7861575324354096,0.15885618177254351,4.9488633282213765,7.464813904602548e-07,5.614634374529854e-05,True
CCDC34,401.0685941399344,-1.027165193161038,0.20802216899288833,-4.937767922207146,7.902180168423338e-07,5.8584083641072164e-05,True
ANKRD54,297.90728807348603,-0.822128949776008,0.16650564627397363,-4.937543970270241,7.911257292473896e-07,5.8584083641072164e-05,True
TARS,3180.3091793026347,0.4361791741507611,0.08832136866955026,4.938546364501012,7.870706650628601e-07,5.8584083641072164e-05,True
OBSL1,593.1465013196787,-0.6724079656553017,0.13631564512173966,-4.932727751497586,8.108914256213291e-07,5.973982677167187e-05,True
ANXA3,2931.726166782863,0.5929162231798509,0.12030423093247745,4.928473575568876,8.287454047530998e-07,6.07436555340971e-05,True
ZNF285,50.34421398598177,0.7186168138236604,0.1461579648080233,4.916713329769984,8.800928288475118e-07,6.417976436153988e-05,True
APOL6,446.5984108342506,1.2372334862912457,0.2517272724673089,4.914975934726825,8.879336595407535e-07,6.44245199644569e-05,True
ZNF641,187.51454318743467,0.6388127838167132,0.13017394975257218,4.907378050915218,9.230201037194298e-07,6.551695275643503e-05,True
BMP2,131.03178194924308,1.0863565080018192,0.22133046299210057,4.90830088780229,9.186883472298383e-07,6.551695275643503e-05,True
TUFT1,889.8503142510074,0.9495724079130469,0.1934472736093829,4.9086885030515575,9.168747410903988e-07,6.551695275643503e-05,True
PHLDB2,1216.601297380169,1.2805397821612838,0.26097304133597027,4.906789512073581,9.257929423330301e-07,6.551695275643503e-05,True
EIF2AK2,778.9372214847749,0.9693766588817344,0.19743101438828337,4.909951265181072,9.109903023447005e-07,6.551695275643503e-05,True
MTHFD2,1582.3309175349254,1.3076894929449256,0.26793422186351235,4.880636313830311,1.0574409255979116e-06,7.410339676653463e-05,True
CSRNP2,304.17243463046816,0.5581246389980902,0.11435072998529938,4.880813957810686,1.0564887383097028e-06,7.410339676653463e-05,True
CSGALNACT1,1001.4568848969454,0.8273980015527049,0.16990379303745534,4.869803002987136,1.117095623481872e-06,7.79038627521387e-05,True
CASP7,504.2139549885445,0.4701981240109674,0.09663026229768365,4.86595102642331,1.1390772364903178e-06,7.905306077014447e-05,True
RIT1,438.03694327071577,0.473746220228104,0.09745081726233179,4.861387862482542,1.165656061809245e-06,8.050872588438276e-05,True
SAA4,4.119736154751716,2.235923246128686,0.46047761794385705,4.855661076672129,1.199857733312718e-06,8.247443156349526e-05,True
KLHDC7B,5.890785750804027,2.7443301651808407,0.5656225015441128,4.8518758671888005,1.2229916481208184e-06,8.363032515281998e-05,True
MMP10,84.99098653774101,2.30571313035268,0.47530536461652334,4.851014320473598,1.2283167623030082e-06,8.363032515281998e-05,True
SHMT1,777.9213989877163,-0.8015132822601253,0.16546169807107594,-4.844101635629451,1.2718581937935124e-06,8.57817596809277e-05,True
