"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045069","regulation of viral genome replication","9/168","72/12916",0.125,9.61011904761905,8.41019517842794,3.62723769589245e-07,2.13518742060131e-05,1.52578945993209e-05,"APOBEC3G/CCL5/IFI16/IFIH1/IFIT1/MX1/OAS1/OAS3/TNF",9
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","15/168","237/12916",0.0632911392405063,4.86588306208559,6.89542761568775,4.61417965215941e-07,2.66490639910565e-05,1.90432280381078e-05,"C1R/C1S/CD274/ICAM1/IL1B/IL6/IL7R/IRF7/NFKBIZ/NLRP3/RAET1L/TNF/TNFAIP3/TNFRSF1B/ULBP1",15
"GO:0002456","T cell mediated immunity","10/168","97/12916",0.103092783505155,7.92587137947963,7.85984594929529,5.03434789868686e-07,2.85372942923712e-05,2.03925437299635e-05,"CD274/ICAM1/IL1B/IL6/IL7R/NFKBIZ/NLRP3/RAET1L/TNFRSF1B/ULBP1",10
"GO:0006959","humoral immune response","12/168","150/12916",0.08,6.15047619047619,7.28360544765261,5.77827007954925e-07,3.21586994790914e-05,2.29803736369442e-05,"C1R/C1S/CCL20/CCL5/CXCL3/CXCL5/CXCL6/IL1B/IL6/PGLYRP4/TNF/TREM1",12
"GO:0048660","regulation of smooth muscle cell proliferation","11/168","124/12916",0.0887096774193548,6.82008448540707,7.47569759205743,6.17750011881196e-07,3.37666568994347e-05,2.41294083588182e-05,"CCL5/EREG/HBEGF/IL6/ITGA2/ITGB3/PDGFB/SOD2/STAT1/TNF/TNFAIP3",11
"GO:0002544","chronic inflammatory response","5/168","14/12916",0.357142857142857,27.4574829931973,11.3701146373019,6.38736636149386e-07,3.43012779518117e-05,2.45114446891676e-05,"CCL5/NFKBIZ/TNF/TNFAIP3/VNN1",5
"GO:0048008","platelet-derived growth factor receptor signaling pathway","8/168","57/12916",0.140350877192982,10.7903091060986,8.50376112719424,6.66309937729549e-07,3.51650813687957e-05,2.51287123521235e-05,"IL1B/ITGB3/LOX/PDGFB/PLAT/TIPARP/TXNIP/VEGFA",8
"GO:0045765","regulation of angiogenesis","15/168","246/12916",0.0609756097560976,4.68786295005807,6.70401285012884,7.41858203206313e-07,3.84886094917716e-05,2.75036814676667e-05,"ADM2/BMPER/CCBE1/ETS1/FUT1/GREM1/IL1A/IL1B/IL6/ITGB3/SERPINE1/STAT1/TNF/TNFAIP3/VEGFA",15
"GO:0048659","smooth muscle cell proliferation","11/168","127/12916",0.0866141732283465,6.65898012748406,7.35703046355392,7.8569042149143e-07,3.94269046009646e-05,2.81741803541341e-05,"CCL5/EREG/HBEGF/IL6/ITGA2/ITGB3/PDGFB/SOD2/STAT1/TNF/TNFAIP3",11
"GO:0032102","negative regulation of response to external stimulus","17/168","317/12916",0.0536277602523659,4.12295328225928,6.46260927136097,8.00494494992284e-07,3.94269046009646e-05,2.81741803541341e-05,"C1QTNF1/FAP/GREM1/IFI16/NLRP3/OAS1/OAS3/PARP14/PDGFB/PHLDB2/PLAT/PLAU/SERPINE1/TNF/TNFAIP3/TNFAIP6/TNFRSF1B",17
"GO:1903900","regulation of viral life cycle","10/168","102/12916",0.0980392156862745,7.53734827264239,7.60922046175125,8.06392121491754e-07,3.94269046009646e-05,2.81741803541341e-05,"APOBEC3G/CCL5/IFI16/IFIH1/IFIT1/LAMP3/MX1/OAS1/OAS3/TNF",10
"GO:0048661","positive regulation of smooth muscle cell proliferation","9/168","79/12916",0.113924050632911,8.75858951175407,7.94045463244264,8.11465204136154e-07,3.94269046009646e-05,2.81741803541341e-05,"CCL5/EREG/HBEGF/IL6/ITGA2/ITGB3/PDGFB/STAT1/TNF",9
"GO:0031649","heat generation","5/168","15/12916",0.333333333333333,25.6269841269841,10.9553432949396,9.48046796417572e-07,4.48159555642048e-05,3.20251571252661e-05,"ADRB2/ARRDC3/IL1A/IL1B/TNF",5
"GO:1901342","regulation of vasculature development","15/168","251/12916",0.0597609561752988,4.59447922595333,6.60162818346649,9.56856521817282e-07,4.48159555642048e-05,3.20251571252661e-05,"ADM2/BMPER/CCBE1/ETS1/FUT1/GREM1/IL1A/IL1B/IL6/ITGB3/SERPINE1/STAT1/TNF/TNFAIP3/VEGFA",15
"GO:0070555","response to interleukin-1","10/168","104/12916",0.0961538461538462,7.39239926739927,7.51368383162988,9.66302864174295e-07,4.48159555642048e-05,3.20251571252661e-05,"AKAP12/CCL5/GBP1/GBP3/IL1B/IL6/IRAK2/KMO/NKX3-1/NLRP3",10
"GO:0033627","cell adhesion mediated by integrin","8/168","63/12916",0.126984126984127,9.76266061980348,8.0035899709667,1.46163592052603e-06,6.67771276526893e-05,4.77184515766393e-05,"CCL5/ICAM1/ITGA2/ITGB3/LIF/PLAU/PODXL/SERPINE1",8
"GO:0061045","negative regulation of wound healing","8/168","64/12916",0.125,9.61011904761905,7.92673981966129,1.65211463442581e-06,7.43694543526087e-05,5.31438732250283e-05,"C1QTNF1/FAP/PDGFB/PHLDB2/PLAT/PLAU/SERPINE1/TNF",8
"GO:0071346","cellular response to type II interferon","9/168","86/12916",0.104651162790698,8.04568106312292,7.52557513759039,1.67747803616799e-06,7.44168154885537e-05,5.31777171496121e-05,"CCL5/GBP1/GBP3/GBP5/PARP14/PARP9/STAT1/TLR2/TNF",9
"GO:0070661","leukocyte proliferation","15/168","265/12916",0.0566037735849057,4.35175202156334,6.32868103483395,1.88836848612881e-06,8.25756562291469e-05,5.90079656267017e-05,"CCL5/CD274/CSF2/GREM1/IKZF3/IL1A/IL1B/IL6/IL7R/LST1/NFKBIZ/RASGRP1/TNFAIP3/TNFRSF1B/TNFRSF9",15
"GO:0030595","leukocyte chemotaxis","12/168","168/12916",0.0714285714285714,5.49149659863946,6.72675340605993,1.93313886116686e-06,8.33427894934049e-05,5.95561534989582e-05,"CCL5/CXCL3/CXCL5/CXCL6/GREM1/IL1B/IL6/PDGFB/SERPINE1/TNFAIP6/TREM1/VEGFA",12
"GO:0002819","regulation of adaptive immune response","12/168","169/12916",0.0710059171597633,5.45900253592561,6.69819670815783,2.05769066571508e-06,8.74804323299149e-05,6.25128830899992e-05,"CD274/IL1B/IL6/IL7R/IRF7/NFKBIZ/NLRP3/RAET1L/TNF/TNFAIP3/TNFRSF1B/ULBP1",12
"GO:0050865","regulation of cell activation","21/168","500/12916",0.042,3.229,5.83559357434099,2.09660815844481e-06,8.79139393561585e-05,6.28226640699109e-05,"C1QTNF1/CCL5/CD274/IKZF3/IL1A/IL1B/IL6/IL7R/INHBA/LST1/NFKBIZ/NLRP3/PDGFB/PRDM1/RASGRP1/THEMIS2/TNF/TNFAIP3/TNFRSF1B/TNFRSF9/VNN1",21
"GO:0045766","positive regulation of angiogenesis","11/168","141/12916",0.0780141843971631,5.99780479567714,6.84997852692665,2.22068674332133e-06,9.18584070446837e-05,6.56413520998823e-05,"ADM2/BMPER/CCBE1/ETS1/FUT1/GREM1/IL1A/IL1B/ITGB3/SERPINE1/VEGFA",11
"GO:0050673","epithelial cell proliferation","18/168","382/12916",0.0471204188481675,3.6226626776365,5.97324173658468,2.4048540077743e-06,9.81501082372953e-05,7.01373561846316e-05,"BMPER/CCL5/EREG/FAP/FUT1/IL6/ITGB3/KLF9/NFKBIZ/NKX3-1/PDGFB/PRDM1/RUNX2/STAT1/TNF/TNFAIP3/VEGFA/ZEB2",18
