"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"ZNF641",187.514543187435,0.596940656582487,0.132455815829158,9.10173294768615e-07,6.7843256995981e-05,TRUE
"PHLDB2",1216.60129738017,1.16901020077494,0.282726732207097,9.09748087386322e-07,6.7843256995981e-05,TRUE
"BMP2",131.031781949243,0.992250697122413,0.237967845852797,9.30495904223079e-07,6.90230174364511e-05,TRUE
"ZNF285",50.3442139859818,0.668442743508134,0.149678808372025,9.35974104538231e-07,6.90955883422333e-05,TRUE
"MMP10",84.990986537741,2.22010534363439,0.55279522299594,9.7186011275488e-07,7.14014929729722e-05,TRUE
"CSRNP2",304.172434630468,0.521230969161346,0.118103705491414,1.02367016290026e-06,7.48497873873024e-05,TRUE
"MTHFD2",1582.33091753493,1.17790362545581,0.291202747296458,1.03797083180847e-06,7.55357446560145e-05,TRUE
"CSGALNACT1",1001.45688489695,0.767512027993371,0.176496041077546,1.08352942466731e-06,7.84792184705971e-05,TRUE
"CASP7",504.213954988544,0.44439638480072,0.0986175739445605,1.09004664151079e-06,7.85805923962356e-05,TRUE
"RIT1",438.036943270716,0.4479059607426,0.0985725428944924,1.11700898563414e-06,8.01480045533285e-05,TRUE
"KLHDC7B",5.89078575080403,2.61931891511207,0.63027086923607,1.19941143943426e-06,8.56602914070374e-05,TRUE
"HABP2",24.3953852681631,-3.08062695557751,0.824290284637786,1.21291143996892e-06,8.62234035218648e-05,TRUE
"SHMT1",777.921398987716,-0.742029282397774,0.169179163406264,1.23819257681782e-06,8.72130597111814e-05,TRUE
"AGFG2",393.457759152205,-0.643066381964016,0.145231066354151,1.23426582467802e-06,8.72130597111814e-05,TRUE
"VDR",328.279638739835,0.711645370512223,0.163434885172625,1.34690261335197e-06,9.4178699275741e-05,TRUE
"GPT2",588.020553976584,0.569699083919867,0.131727129510436,1.34935290398326e-06,9.4178699275741e-05,TRUE
"VEGFC",292.930223076837,0.610439043952136,0.140917519645785,1.36837919099093e-06,9.5074490849166e-05,TRUE
"C1orf53",38.0602611809236,-1.43879590087806,0.347481144219036,1.39562231591265e-06,9.56686636644584e-05,TRUE
"PHLDA1",2534.69250020296,0.613529558901542,0.140623424566849,1.38540474470706e-06,9.56686636644584e-05,TRUE
"ARRDC4",609.978330457574,1.32940206398386,0.33474965008287,1.39185052484623e-06,9.56686636644584e-05,TRUE
"GLIPR1",480.252957245745,0.762484786675661,0.177768157115263,1.41188983067388e-06,9.63536371110996e-05,TRUE
"CSGALNACT2",294.886075076527,0.794233186145255,0.184823769393224,1.46464360276062e-06,9.95115155769436e-05,TRUE
"ERAP1",493.935326651848,0.661168040485537,0.150339977964223,1.51673362724701e-06,0.000102596673332061,TRUE
"FBXW9",132.150867152993,-1.0802562235118,0.25868811972387,1.63218216930445e-06,0.000109695022245432,TRUE
"PRKCE",153.562792393239,0.734502025172716,0.170558521186732,1.63595962840794e-06,0.000109695022245432,TRUE
"TGM2",5731.58405961688,0.846901679395796,0.196985485244282,1.6824032349925e-06,0.000112118295890205,TRUE
"ELL2",1184.62624812265,0.504711433044283,0.115021889664173,1.68670311629028e-06,0.000112118295890205,TRUE
"TNFAIP6",45.8443404798738,1.33512934058617,0.312825516965873,1.75869775731771e-06,0.000116400017515575,TRUE
"TOR1B",510.168588041675,0.33375552850721,0.0737066428107544,1.80794970345956e-06,0.000119146213290221,TRUE
"OAS1",1334.70884013595,1.18439958305471,0.312669660976199,1.84437569181371e-06,0.000121027302341024,TRUE
"H2AFX",1193.49193389991,-1.42685655429722,0.347774041241099,1.86661382606557e-06,0.00012196534169888,TRUE
"SDF2L1",423.935160870975,-1.58045599791379,0.406250716658911,1.91554750857288e-06,0.000124632338958206,TRUE
"RASGRP3",81.1686228661582,1.10745949720472,0.299289024164225,1.94480345711372e-06,0.000126001928624393,TRUE
"CFB",2248.54634889195,0.839978351822681,0.388305615045419,2.05874442550872e-06,0.000131716752723693,TRUE
"DNAJC30",167.590699165523,-0.606204997305196,0.14220481512789,2.055643760833e-06,0.000131716752723693,TRUE
"TRAF1",148.016788460728,1.2065856462006,0.352041092170045,2.05103125851049e-06,0.000131716752723693,TRUE
"VLDLR",557.491871417579,0.963642158087086,0.233186168652034,2.06964609928628e-06,0.000131864796076933,TRUE
